,Title,Release Year,Runtime,Gross Worldwide Boxoffice
0,The Shawshank Redemption,1994,142,29332133
1,The Godfather,1972,175,250342198
2,The Godfather Part II,1974,202,47962277
3,The Dark Knight,2008,152,1009053678
4,12 Angry Men,1957,96,2945
5,Schindler's List,1994,195,322161245
6,Pulp Fiction,1994,154,213928762
7,"The Good, the Bad and the Ugly",1967,178,25264999
8,The Lord of the Rings: The Return of the King,2003,201,1137996691
9,Fight Club,1999,139,101321009
10,Baahubali: The Beginning,2015,159,24548038
11,The Lord of the Rings: The Fellowship of the Ring,2001,178,888120042
12,Inception,2010,148,839030630
13,Star Wars: Episode V - The Empire Strikes Back,1980,124,550016086
14,Forrest Gump,1994,142,678226465
15,Andaz Apna Apna,1994,160,Data not available
16,The Lord of the Rings: The Two Towers,2002,179,938210343
17,One Flew Over the Cuckoo's Nest,1975,133,109115366
18,Seven Samurai,1956,207,1060273
19,Goodfellas,1990,145,47054352
20,The Matrix,1999,136,467840449
21,Star Wars: Episode IV - A New Hope,1977,121,775398507
22,City of God,2004,130,30680793
23,Interstellar,2014,169,732055745
24,Se7en,1995,127,327333559
25,It's a Wonderful Life,1947,130,9767242
26,The Usual Suspects,1995,106,23341568
27,Life Is Beautiful,1997,116,230099013
28,The Silence of the Lambs,1991,118,272742922
29,Léon: The Professional,1994,110,20278356
30,Once Upon a Time in the West,1969,166,5435312
31,City Lights,1931,87,55154
32,Spirited Away,2003,124,358110581
33,The Intouchables,2011,112,426590315
34,Casablanca,1943,102,4720495
35,Saving Private Ryan,1998,169,482351251
36,American History X,1998,119,23875714
37,Modern Times,1936,87,463618
38,Indiana Jones and the Raiders of the Lost Ark,1981,115,389925971
39,Psycho,1960,109,32066765
40,Rear Window,1954,112,37043820
41,Whiplash,2014,106,50360880
42,The Green Mile,1999,189,286801374
43,The Pianist,2003,150,120098945
44,Terminator 2: Judgment Day,1991,137,517778573
45,Gladiator,2000,155,465516248
46,Sunset Boulevard,1950,110,308663
47,The Departed,2006,151,291481358
48,Memento,2001,113,40047236
49,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,9631984
50,The Dark Knight Rises,2012,164,1114975066
51,Back to the Future,1985,116,384577472
52,Apocalypse Now,1979,147,105090566
53,Cinema Paradiso,1990,174,13020497
54,The Prestige,2006,130,109676311
55,The Great Dictator,1941,125,972212
56,The Lion King,1994,88,981708285
57,The Lives of Others,2007,137,77672685
58,Inside Out,2015,95,859076254
59,Paths of Glory,1957,88,8290
60,Alien,1979,117,108628991
61,Grave of the Fireflies,1989,88,801143
62,Django Unchained,2012,165,426076293
63,3 Idiots,2009,170,60262836
64,Queen,2014,146,502391
65,The Shining,1980,146,47959450
66,Witness for the Prosecution,1958,116,7903
67,WALL·E,2008,98,527403656
68,Princess Mononoke,1997,133,170338626
69,M,1931,99,35566
70,Das Boot,1982,149,11488778
71,American Beauty,1999,122,356296601
72,Citizen Kane,1941,119,1707502
73,Aliens,1986,137,131060248
74,Oldboy,2003,120,17592355
75,Once Upon a Time in America,1984,229,5475540
76,North by Northwest,1959,136,192323
77,Amélie,2002,122,175183052
78,A Separation,2011,123,22926076
79,Vertigo,1958,128,7808900
80,Double Indemnity,1944,107,19543
81,Star Wars: Episode VI - Return of the Jedi,1983,131,482466382
82,Braveheart,1995,178,213216216
83,Requiem for a Dream,2000,102,7390108
84,Gangs of Wasseypur,2012,321,4384642
85,Lawrence of Arabia,2013,227,45763719
86,To Kill a Mockingbird,1963,129,599934
87,Chak De! India,2007,153,21505244
88,Toy Story 3,2010,103,1067316101
89,A Clockwork Orange,1972,136,27034174
90,Bicycle Thieves,1949,89,451336
91,Reservoir Dogs,1992,99,2931191
92,The Kid,1921,68,41979
93,Udaan,2010,134,434862
94,Haider,2014,160,1404307
95,Eternal Sunshine of the Spotless Mind,2004,108,73395181
96,Bhaag Milkha Bhaag,2013,186,17551296
97,Taxi Driver,1976,114,28579636
98,Singin' in the Rain,1952,103,2092468
99,All About Eve,1950,138,154501
100,The Sting,1973,129,156000000
101,Amadeus,1984,160,52075942
102,Yojimbo,1961,110,64919
103,Rashomon,1951,88,133898
104,The Martian,2015,144,630621406
105,The Treasure of the Sierra Madre,1948,126,5014000
106,Full Metal Jacket,1987,116,50193748
107,Monty Python and the Holy Grail,1975,91,2817496
108,The Apartment,1960,125,18778738
109,PK,2014,153,100370104
110,Ikiru,1956,143,109622
111,2001: A Space Odyssey,1968,149,66764997
112,Snatch,2001,102,83557872
113,For a Few Dollars More,1967,132,15000000
114,Metropolis,1927,153,1350322
115,The Third Man,1950,93,1406393
116,Some Like It Hot,1959,121,208457
117,Scarface,1983,170,66443303
118,L.A. Confidential,1997,138,126216940
119,Inglourious Basterds,2009,153,321460456
120,Toy Story,1995,81,394436586
121,Batman Begins,2005,140,375404836
122,Dilwale Dulhania Le Jayenge,1995,181,83096
123,Swades,2004,189,1953889
124,The Hunt,2012,115,15886373
125,Indiana Jones and the Last Crusade,1989,127,474171806
126,Unforgiven,1992,130,159167799
127,Mr. Smith Goes to Washington,1939,129,146123
128,Downfall,2005,156,92181574
129,The Great Escape,1963,172,230637
130,On the Waterfront,1954,108,3350
131,Up,2009,96,735102136
132,Raging Bull,1980,129,23405198
133,The General,1927,78,612
134,Ran,1985,160,4172381
135,Wild Strawberries,1959,92,81070
136,The Gold Rush,1925,95,31490
137,My Neighbor Totoro,1990,86,30331056
138,Chinatown,1974,130,29231618
139,Good Will Hunting,1998,126,225933435
140,Judgment at Nuremberg,1961,179,12180
141,Heat,1995,170,187436818
142,The Seventh Seal,1958,96,311212
